title,year,Show_type,Source,Subscription,content_type,Added_to_site,Updated_at_DB
All Girls Garage Season 9,2020,TVSeason,Amazon,Purchase,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Amerika Bombers 1,2016,MO,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Artist Police,2020,MO,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Canards of War,2016,MO,Amazon,New Rental,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Car Fix Season 9,2020,TVSeason,Amazon,Purchase,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Circle of Fear,1992,MO,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
DuckTales Volume 5,2020,TVSeason,Amazon,Purchase,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Fight for the VC-10: Part 1,2018,MO,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
"Highlights Watch & Learn!: Zoom, Zoom!",2020,MO,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Human Rights Short Films,,TVSeason,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Inside Nollywood - Adah Ameh,2020,MO,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Inside Nollywood - Tana Adelana,2020,MO,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Killing Lionel,2019,MO,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Mighty Mouse,2016,MO,Amazon,New Rental,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Mommy is a Murderer,2020,MO,Amazon,Purchase,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Never Quit,2019,MO,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Palasa 1978,2020,MO,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Race With a Lady Part 1,2016,MO,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Secret Factory 1,2016,MO,Amazon,New Rental,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Sputnik Declassified 2,2016,MO,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Stinger's Tale Part Two,2017,MO,Amazon,New Rental,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
The Fighter Mafia Part One,2017,MO,Amazon,Purchase,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
The Koala Brothers,2003,TVSeason,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
The Zoo Season 4,2020,TVSeason,Amazon,Purchase,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Tournament,2018,MO,Amazon,New Prime,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Unscripted,2019,TVSeason,Amazon,New Rental,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Weekends with Yankee: Season 4,2020,TVSeason,Amazon,Purchase,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
Who Killed The First Jet Fighter 2,2016,MO,Amazon,New Rental,Recently_Added,"Apr 05, 2020","Apr 06, 2020"
