title,year,Show_type,Source,Subscription,content_type,Added_to_site,Updated_at_DB
Art School Confidential,2006,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Article 99,1992,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Assassination Tango,2003,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Babe Watch,1996,MO,Amazon,New Rental,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Beef House: Season 1,2020,TVSeason,Amazon,Purchase,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Beyond the Night,2019,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Chattahoochee,1990,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Crazy Rich Asians,2018,MO,Amazon,New Rental,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Cutter's Way,1981,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Forbidden History Season 4,2020,TVSeason,Amazon,Purchase,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Foxy Brown,1974,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Fuorigioco (Out of play),2015,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Girlfriend,2019,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Harry's Big Birthday Countdown,2020,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
ISIS: The Justice System's Dilemma,2019,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Limerence,2020,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
RiffTrax Shorts: Volume 8,2009,TVSeason,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Romance In The Outfield: Double Play,2020,MO,Amazon,New Rental,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
The Apollo,2019,MO,Amazon,Purchase,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
The Bet,2020,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
"The Crusades: Crescent & The Cross, Pt. 1 Season 1",2005,TVSeason,Amazon,Purchase,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
"The Crusades: Crescent & The Cross, Pt. 2 Season 1",2005,TVSeason,Amazon,Purchase,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
The Hotties That Time Forgot,1995,MO,Amazon,New Rental,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
The Nun,2018,MO,Amazon,New Rental,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
The Return of The Exorcist,1975,MO,Amazon,New Rental,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
The West Memphis Three: An ID Murder Mystery Season 1,2020,TVSeason,Amazon,Purchase,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
The Windermere Children,2020,MO,Amazon,New Rental,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Things as they are,2018,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Three Busy Debras: Season 1,2020,TVSeason,Amazon,Purchase,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Two Guys Garage Season 19,2020,TVSeason,Amazon,Purchase,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
Unconditional Surrender,2020,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
"Up And Vanished (2020), Season 1",2020,TVSeason,Amazon,Purchase,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
We Take The Low Road,2020,MO,Amazon,New Prime,Recently_Added,"Apr 06, 2020","Apr 07, 2020"
